Altium Designer Pick and Place Locations
C:\Users\138428\Downloads\LED DISPLAY ELAVATOR\Project Outputs for Matrix dot led\Pick Place\Pick Place for Elavator Display(Variant of Matrix dot led).txt

========================================================================================================================
File Design Information:

Date:       20/06/20
Time:       21:03
Revision:   Not in VersionControl
Variant:    Variant of Matrix dot led
Units used: mil

Designator Comment       Layer    Footprint       Center-X(mil) Center-Y(mil) Rotation Description                                                                                       
C1         100nF/50V     TopLayer CAPC-0603-1608N 2470.031      4994.468      180      "CAP CER 100nF 50V 0603"                                                                          
C2         220uF/16V     TopLayer CAP.SMD_6.3MM   745.716       4405.832      270      "Cap Pol 100uF 35V  SMD 6.3x7.7 mm"                                                               
C3         100nF/50V     TopLayer CAPC-0603-1608N 848.000       4681.968      270      "CAP CER 100nF 50V 0603"                                                                          
C4         1nF/50V       TopLayer CAPC-0603-1608N 785.000       4681.968      90       "CAP CER 1nF 50V 0603"                                                                            
C5         100uF/35V     TopLayer CAP.SMD_6.3MM   449.000       4406.551      270      "Cap Pol 100uF 35V  SMD 6.3x7.7 mm"                                                               
C6         100nF/50V     TopLayer CAPC-0603-1608N 303.000       4844.068      270      "CAP CER 100nF 50V 0603"                                                                          
C7         1nF/50V       TopLayer CAPC-0603-1608N 365.000       4844.069      90       "CAP CER 1nF 50V 0603"                                                                            
C8         100nF/50V     TopLayer CAPC-0603-1608N 2126.504      4431.000      180      "CAP CER 100nF 50V 0603"                                                                          
C11        680nF/50V     TopLayer CAPC-0603-1608N 1948.000      3921.000      270      "CAP CER 680nF 50V 0603"                                                                          
C12        100nF/50V     TopLayer CAPC-0603-1608N 2081.504      3988.000      360      "CAP CER 100nF 50V 0603"                                                                          
C13        1uF/25V       TopLayer CAPC-0603-1608N 2081.504      3930.000      360      "CAP CER 1uF 25V 0603"                                                                            
C14        1nF/50V       TopLayer CAPC-0603-1608N 2081.504      3872.000      360      "CAP CER 1nF 50V 0603"                                                                            
C15        100nF/50V     TopLayer CAPC-0603-1608N 1331.000      3581.000      90       "CAP CER 100nF 50V 0603"                                                                          
C16        100nF/50V     TopLayer CAPC-0603-1608N 1471.000      3579.000      90       "CAP CER 100nF 50V 0603"                                                                          
C17        100nF/50V     TopLayer CAPC-0603-1608N 1484.207      5489.776      270      "CAP CER 100nF 50V 0603"                                                                          
C18        100nF/50V     TopLayer CAPC-0603-1608N 1017.000      5495.031      270      "CAP CER 100nF 50V 0603"                                                                          
C19        100nF/50V     TopLayer CAPC-0603-1608N 1357.000      440.969       90       "CAP CER 100nF 50V 0603"                                                                          
C20        100nF/50V     TopLayer CAPC-0603-1608N 764.286       440.969       90       "CAP CER 100nF 50V 0603"                                                                          
C21        1nF/50V       TopLayer CAPC-0603-1608N 140.000       1502.000      270      "CAP CER 1nF 50V 0805"                                                                            
C22        1nF/50V       TopLayer CAPC-0603-1608N 606.000       1502.000      270      "CAP CER 1nF 50V 0603"                                                                            
C23        100nF/50V     TopLayer CAPC-0603-1608N 2494.000      863.000       90       "CAP CER 100nF 50V 0603"                                                                          
